（None）,（None）
-,-
Orb of Tranquility,Sfera della Tranquillità
Act 1-2x,Agisce 1-2x
-,-
Tomboy Princess,Principessa Maschiaccio
Act 1-3x,Agisce 1-3x
Isolating Mist Blower,Soffiatore di Nebbia Isolante
Act 2x,Agisce 2x
Garden of Eden,Giardino dell’Eden
Act 2-3x,Agisce 2-3x
Fusion Expert,Esperto di Fusione
Act 3x,Agisce 3x
-,-
Act 3-4x,Agisce 3-4x
Beholder King,Re dell’Osservazione
Act 4x,Agisce 4x
Blind Ward,Para-Cecità
Tears of God,Lacrime di Dio
Pre-Oomph,Pre-Oomph
Resist Ward,Para-Resistenza
Miracle of Dermlin,Miracolo di Dermlin
Pre-Buff,Pre-Buff
MP Drain Ward,Para-Assorbimento PM
Pre-Accelerate,Pre-Accelerazione
-,-
Pre-Ping,Pre-Intellygo
-,-
Pre-Psycher,Pre-Psiche
Chance Oompher,Occasione Oomph
Chance Buffer,Occasione difensiva
Chance Accelerater,Occasione velocizzante
Chance Pinger,Occasione Intellygo
Chance Psycher,Occasione Psiche
Skill Growth Up,Crescita Abilità
Chance Red Mister,Occasione Nebbia rossa
HP Growth Up,Crescita PV
Chance Black Mister,Occasione Nebbia nera
MP Growth Up,Crescita PM
Chance White Mister,Occasione Nebbia bianca
Magic Miser,Salvamagia
Chance Underworld Mister,Occasione Nebbia degli inferi
Magic Scrooge,Risparmio magico
Chance Sublime Mister,Occasione Nebbia sublime
Chance Reverser,Occasione Ordine inverso
Chance Shuffler,Occasione Mescola
Chance Skipper,Occasione Multistop
Rare Super Psycher,Super caricatore raro
Rare Insulater,Rare Insulater
Scouter SP,Reclutatore SP
Rare Mist Me,Nebbiamica rara
DMG +1,DAN +1
-,-
DMG +2,DAN +2
Frizz Meister,Guru della Fiamma
Bouncer,Riflessione prolungata
Fizz Meister,Guru dello Spruzzo
Ba-Bouncer,Specchio magiflesso fisso
Woosh Meister,Guru del Vento
Quake Meister,Guru dei Colpi
Bang Meister,Guru del Bang
Crack Meister,Guru del Gelo
Zap Meister,Guru del Fulmine
Gravity Meister,Guru della Gravità
Sizz Meister,Guru del Pyro
Zam Meister,Guru dell'Elektron
Heal Meister,Guru della cura
-,-
Breath Meister,Guru dei respiri
-,-
Dance Meister,Guru delle danze
Frizz Ward+,Para-Fiamma+
Fizz Ward+,Para-Spruzzo+
Woosh Ward+,Para-Vento+
Quake Ward+,Para-Terra+
Bang Ward+,Para-Bang+
Crack Ward+,Para-Gelo+
Zap Ward+,Para-Fulmine+
Gravity Ward+,Para-Gravità+
Stasis Strike,Colpo Statico
Sizz Ward+,Para-Pyro+
Poisonous Attack,Attacco Velenoso
Zam Ward+,Para-Elektron+
Fuddle Ward+,Para-Confusione+
Sleep Ward+,Para-Sonno+
Paralysis Ward+,Para-Paralisi+
Stasis Ward+,Para-Stasi+
Poison Ward+,Para-Veleno+
Curse Ward+,Para-Maledizione+
Whack Ward+,Para-K.O.+
Blunt Ward+,Para-Hpmoo+
Vengeful Spirit,Spirito Vendicativo
Sap Ward+,Para-Debilis+
Last-ditch Effort,Sforzo Estremo
Slow Ward+,Para-Lentezza+
Dumb Ward+,Para-Ottuso+
Blind Ward+,Para-Cecità+
Desist Ward+,Para-Interdizione+
MP Drain Ward+,Para-Assorbimento PM+
Essence Drain Ward+,Para-Essenza+
All Ward+,Para-Tutti+
-,-
Small Body,Corpo Piccolo
Calm,Calma
Normal Body,Corpo Normale
-,-
Mega Body,Mega Corpo
Giga Body,Giga Corpo
Ultra Body,Ultra Corpo
Light Metal Body,Corpo Metallico Leggero
Metal Body,Corpo Metallico
Hard Metal Body,Corpo Metallico Duro
Ultra-Hard Metal Body,Corpo Metallico Ultra-Duro
Perilous Parrier,Difensore Pericoloso
Bladed Body,Corpo Lameggiante
Round Body,Corpo Rotondo
Peaceful Body,Corpo Pacifico
Numbing Body,Corpo Intorpidito
Sleepy Body,Corpo Sonnolento
Poisonous Body,Corpo Velenoso
Muddy Body,Corpo Fangoso
Miracle Body,Corpo Miracoloso
Absorbing Body,Corpo Assorbente
Sapping Body,Corpo Prosciugante
Δ Light Body,Corpo Δ Leggero
Δ Body,Corpo Δ 
Δ Large Body,Corpo Δ Grande
Δ Giant,Δ Gigante
-,-
Act 5x,Agisce 5x
Act 6x,Agisce 6x
Act 7x,Agisce 7x
Act 8x,Agisce 8x
-,-
Frizz Ward,Para-Fiamma
Heat Up,Scaldati!
Fizz Ward,Para-Spruzzo
Tit-for-Tat,Pan per focaccia
Woosh Ward,Para-Vento
Quake Ward,Para-Terra
Bang Ward,Para-Bang
Crack Ward,Para-Gelo
Zap Ward,Para-Fulmine
Gravity Ward,Para-Gravità
Cloak of Darkness,Mantello dell’Oscurità
Sizz Ward,Para-Pyro
Secret of Evolution,Segreto dell’Evoluzione
Zam Ward,Para-Elektron
Explosive Personality,Personalità Esplosiva
Confuse Ward,Para-Confusione
Nitty-gritty,Essenza delle Cose
Paralysis Warder,Custode Paralisi
Survival Instinct,Istinto di Sopravvivenza
Sleep Ward,Para-Sonno
Crafty Warder+,Astuzia Custode+
Crafty Poisoner+,Astuzia Velenosa+
Curse Ward,Para-Maledizione
Whack Ward,Para-K.O.
Buff Ward,Para-Buff
Hit and Away,Colpisci e Fuggi
Jamming Ward,Para-Disturbo
Luminary,Luminary
Complete Resist Ward,Para-Resistenza Totale
Berserker,Furioso
Super Resist Ward,Para-Resistenza Super
Tension Change,Cambio Tensione
Ultra Resist Ward,Para-Resistenza Ultra
-,-
-,-
-,-
-,-
-,-
-,-
-,-
Divine Protection,Protezione Divina
Escape Artist,Fuga da maestro
-,-
Preemptive Striker,Attaccante Preventivo
-,-
Artful Dodger,Evasione totale
Fly Swatter,Centro perfetto
Last Word,Ultimatum
Early Bird,Prima e meglio
Early Bird+,Prima e meglio+
Order Moodifier,Modificatore Ordine
Critical Demon,Demone del Critico
-,-
Desperado,Desperado
-,-
Renegade Caster,Mago Rinnegato
Desperation Nuker,Devastazione Disperata
Counter Attack,Contrattacco
Gamble Counter,Contro Azzardato
HP Regenerator+,Rigeneratore PV+
MP Regenerator+,Rigeneratore PM+
HP Gambit,Azzardo PV
Max HP +36,PV max +36
MP Gambit,Azzardo PM
Max HP +48,PV max +48
HP Roulette,Roulette dei PV
MP Roulette,Roulette del PM
ATK Roulette,Roulette dell'Attacco
DEF Roulette,Roulette della Difesa
AGI Roulette,Roulette dell'Agilità
INT Roulette,Roulette dell'Intelligenza
-,-
Max MP +72,PM max +72
-,-
Max MP +96,PM max +96
-,-
-,-
-,-
-,-
-,-
-,-
Hunter Mech,Cacciatore Meccanico
ATK +36,Attacco +36
Metal Killer,Ammazza Metallo
ATK +48,Attacco +48
Little Killer,Ammazza Piccoli
Giant Killer,Ammazza Giganti
Hopeful Hitter,Estremi opposti
Confusing Attack,Attacco Confondente
Sleep Attack,Attacco Soporifero
Paralyzing Attack,Attacco Paralizzante
Cursed Attack,Attacco Maledetto
K.O. Attack,Attacco K.O.
HP Sucker,Succhia-PV
MP Sucker,Succhia-PM
Essence Sucker,Succhia-Essenza
Comeback Kid,Ritorno a sorpresa
Close Scraper,Salvezza stentata
Last Stand,Ultima Resistenza
Final Breath,Ultimo Respiro
Grudge-bearer,Portatore di Rancore
Lucky,Fortunato
Unlucky,Sfortunato
Rabble Rouser,Alta tensione
Heckling Hector,Bassa tensione
Grumbler,Brontolone
Moody,Lunatico
Imposing,Presenza ingombrante
INT +72,Intelligenza +72
Lovely,Amabile
